r-day,rp_id,r-server,r-path,r-date,r-image,r-parameter
Day-11,1000001710,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001707,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,514658,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001712,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,514659,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001713,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,511421,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001716,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,513060,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001705,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,513160,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001704,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001708,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001706,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,509115,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,514660,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001721,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001722,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,509352,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001727,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001703,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001729,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001730,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001731,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001723,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001732,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001734,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,509116,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,515733,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,515730,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,515731,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,515732,www.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
